id,appId,displayName,servicePrincipalType,accountEnabled,csa_set,csa_attr
fb96019d-a14c-474d-938c-0cb8da98a9d3,5961cf21-cff8-474c-97b2-b672562216d4,DSS Govt Prod,Application,TRUE,SSO,UniqueUserIdentifier
2d90008b-804e-4513-9b56-8ae777901602,1e5c944c-0894-4ab0-aef8-392f260e4f91,aae-fof-uks-aaeddtd-app-01,Application,TRUE,SSO,UniqueUserIdentifier
e17723e8-6c57-430a-b24b-4845abdc57fa,e3432d2b-7169-4988-9342-4d0eebc24eca,DSM New Test Server External HTTP,Application,TRUE,SSO,UniqueUserIdentifier
0343ea17-b8c1-49c7-b717-23bb4d132e5e,71d55d68-4d9a-4782-a82f-deb8e534e78b,Equate Plus UAT_SSO,Application,TRUE,SSO,UniqueUserIdentifier
2a958bc6-6d2b-490c-a3cf-307af36ddadd,000283aa-2522-4457-ae12-74df65be8d61,Matillion-PROD-Node-PR01,Application,TRUE,SSO,UniqueUserIdentifier
46eb67da-925b-4ca0-9c92-032b3ef70108,3a34db09-dffd-406c-a906-6c7653c0577e,QR8_ECC_QAS,Application,TRUE,SSO,UniqueUserIdentifier
60829f75-54ba-4af4-9396-11a4d29fe4a0,e50dd7ad-01d0-412f-a353-21ec31e6a1b9,QG8_GRC_QAS,Application,TRUE,SSO,UniqueUserIdentifier
5da039e0-8f12-4b11-8120-ed13fce9f282,f72b923b-4690-4ef2-82d1-268a9a1aa299,aae-fof-uks-aaesset-app-01-app,Application,TRUE,SSO,UniqueUserIdentifier
64fd653b-6788-4eaa-a372-d133ec3bb8d3,4aeca2e3-4fa3-42d1-a02d-31491b48326a,DSM New PROD-UAT Server External,Application,TRUE,SSO,UniqueUserIdentifier
5a9fefd6-a0d3-4bee-9d84-354421b3d097,c917ee99-6704-46fa-ab15-e94f918ac2bd,ExterroCollector,Application,TRUE,SSO,UniqueUserIdentifier
084234f3-8742-491a-8446-521ae5bcd025,521fea71-5e88-452a-94eb-3c78c6a46da9,IAM-SSO-Team-Automation-Delegated,Application,TRUE,SSO,UniqueUserIdentifier
e0896b68-0c97-483a-8482-b063d773d193,a880957c-6ce2-474b-a733-b4b114738aa8,DSM New TEMP NS11 PROD Server Internal,Application,TRUE,SSO,UniqueUserIdentifier
70eb704c-f0b0-4765-870b-3d06568d5bcc,21281814-91de-44e8-9054-4cfee3c892a0,VM Asset Map - Dev_SSO,Application,TRUE,SSO,UniqueUserIdentifier
5a2628e1-f44b-484b-8ee3-cd4459111bd9,0edf1552-449a-4f05-9e39-0e6e739ec0d9,DigiCert CertCentral US SSO,Application,TRUE,SSO,UniqueUserIdentifier
1f1a9a86-149a-4231-9236-c353bd59be39,b75067df-5774-4680-b6e3-f9aa8790e800,DigiCert CertCentral UK SSO,Application,TRUE,SSO,UniqueUserIdentifier
7c82819e-d26b-42fb-9ac8-0461e75ee03a,ad003e28-9671-4b47-9c7e-0abcfe798540,STLF-DEV SSO,Application,TRUE,SSO,UniqueUserIdentifier
ae5f29d2-6185-4cd1-8798-46e2c355d050,7ff3bf7c-7837-4ab7-9f10-fa8b1a089bde,Tenable Vulcan Cyber_SSO,Application,TRUE,SSO,UniqueUserIdentifier
f8dc63a5-1fcb-4fde-b6c3-41b4c660c37b,ca126a8d-7916-4638-b9c4-3690c43ae4c6,snaplogic-ipaas-NonProd SSO,Application,TRUE,SSO,UniqueUserIdentifier
ad9284c5-fc42-43f7-9eb3-3712180774f1,859dff89-9463-4edf-bcbe-bd1064e85e8e,aae-fof-uks-aaencbc-app-01_SSO,Application,TRUE,SSO,UniqueUserIdentifier
3cbda58b-fa31-44c5-996c-998309196545,a7ed1b7d-bd7f-48e9-b57d-609b2884536f,BTP_IS Email Connector,Application,TRUE,SSO,UniqueUserIdentifier
aac4e157-84c5-41e0-ad6d-6a69eed3d6b2,5db0abe7-9345-4b4e-b7cd-e8a0128f8b41,NESO PODE Salesforce Sandboxes_SSO,Application,TRUE,SSO,UniqueUserIdentifier
1bb3d764-93a1-4e2d-a5fe-66327c5440f3,fda45baf-cc0f-4953-a8fe-e321755335ab,OASQA1 SSO,Application,TRUE,SSO,UniqueUserIdentifier
d535fdbd-6f51-4960-b6f2-d81e8892341c,e054575e-a747-4586-a3ce-d4bd5bd6d764,Comet Sandbox SSO,Application,TRUE,SSO,UniqueUserIdentifier
d774c06d-e3c0-4393-a92c-50c65fa36c51,5cf9ba52-387d-4251-bfdc-6b916d2aaecd,EnergyHub Mercury,Application,TRUE,SSO,UniqueUserIdentifier
2f852620-79b9-4f82-a58b-45fad1b5ee5f,12b6a8d8-a286-4247-8444-1d340c52ca53,OASQA2 SSO,Application,TRUE,SSO,UniqueUserIdentifier
b12fa11a-7db1-4dba-a24d-7bd37a33f041,ddd220c6-6b60-49fb-b3e6-5d37e083f616,AZ_APP_NGET_PORTFOLIO_SPA_DEV_SSO,Application,TRUE,SSO,UniqueUserIdentifier
73ae99a1-b7f9-4a19-8720-7b8ff8dd4ab3,9a6a014e-1926-4061-9479-a8003db3488f,ConnectAI Engine- Sandbox App,Application,TRUE,SSO,UniqueUserIdentifier
